real	t1	0.0	4	3,4,20,21,21,50
real	t2	0.0	5	3,5,23,24,24,51
real	t3	0.0	6	3,6,30,31,31,52
real	t4	0.0	7	3,7,36,37,37,53
real	t5	0.0	8	3,8,39,40,40,54
real	totvin	0.0	10	3,14,19,19,26,47
int	i	1	0	2,12,13,27,33,46,48,48
int	j	2	2	2,15,16,20,23,30,36,39,42,42
int	n	0	3	2,11,13
real	vino	0	11	3,18,19,21,24,25,31,32,37,40
real	mayt2	0.0	9	3,9,25,26,56
int	anio	0	1	2,27,55
